family_name	family_call	range	no_parameters	discrete	accepts_zero	one_restricted	accepts_one	accepts_negatives
Beta	BE	(0,1)	2	0	0	1	0	0
Beta one inflated	BEOI	(0,1]	3	0	0	1	1	0
Box-Cox Cole and Green	BCCG	(0, ∞)	3	0	0	0	1	0
Box-Cox Power Exponential	BCPE	(0, ∞)	4	0	0	0	1	0
Box-Cox-t	BCT	(0, ∞)	4	0	0	0	1	0
Exponential	EXP	(0, ∞)	1	0	0	0	1	0
Gamma	GA	(0, ∞)	2	0	0	0	1	0
Generalized Beta type 1	GB1	(0,1)	4	0	0	1	0	0
Generalized Beta type 2	GB2	(0, ∞)	4	0	0	0	1	0
Generalized Gamma	GG	(0, ∞)	3	0	0	0	1	0
Generalized Inverse Gaussian	GIG	(0, ∞)	3	0	0	0	1	0
Inverse Gamma	IGAMMA	(0, ∞)	2	0	0	0	1	0
Inverse Gaussian	IG	(0, ∞)	2	0	0	0	1	0
Logit-Normal	LOGITNO	(0,1)	2	0	0	1	0	0
log-Normal	LOGNO	(0, ∞)	2	0	0	0	1	0
log-Normal (Box-Cox)	LNO	(0, ∞)	3	0	0	0	1	0
Pareto type 2	PARETO2	(0, ∞)	2	0	0	0	1	0
Pareto type 2 original	PARETO2o	(0, ∞)	2	0	0	0	1	0
Weibull	WEI	(0, ∞)	2	0	0	0	1	0
Weibull(PH parameterization)	WEI2	(0, ∞)	2	0	0	0	1	0
Weibull (mu as mean)	WEI3	(0, ∞)	2	0	0	0	1	0
Beta zero inflated	BEZI	[0,1)	3	0	1	1	0	0
Beta inflated	BEINF	[0,1]	4	0	1	1	1	0
Exponential Gaussian	exGAUS	(-∞, ∞)	3	0	1	0	1	1
Exponential generalized Beta type 2	EGB2	(-∞, ∞)	4	0	1	0	1	1
Generalized t	GT	(-∞, ∞)	4	0	1	0	1	1
Gumbel	GU	(-∞, ∞)	2	0	1	0	1	1
Johnson's SU	JSU	(-∞, ∞)	4	0	1	0	1	1
Logistic	LO	(-∞, ∞)	2	0	1	0	1	1
Normal Exponential t	NET	(-∞, ∞)	4	0	1	0	1	1
Normal	NO	(-∞, ∞)	2	0	1	0	1	1
Normal Family	NOF	(-∞, ∞)	3	0	1	0	1	1
Power Exponential	PE	(-∞, ∞)	3	0	1	0	1	1
Reverse generalized extreme	RGE	y > μ − (σ/ν)	3	0	1	0	1	0
Reverse Gumbel	RG	(-∞, ∞)	2	0	1	0	1	1
Skew Power Exponential type 1	SEP1	(-∞, ∞)	4	0	1	0	1	1
Skew Power Exponential type 2	SEP2	(-∞, ∞)	4	0	1	0	1	1
Skew Power Exponential type 3	SEP3	(-∞, ∞)	4	0	1	0	1	1
Skew Power Exponential type 4	SEP4	(-∞, ∞)	4	0	1	0	1	1
Shash	SHASH	(-∞, ∞)	4	0	1	0	1	1
Shash original	SHASHo	(-∞, ∞)	4	0	1	0	1	1
Shash original 2	SHASHo2	(-∞, ∞)	4	0	1	0	1	1
Skew t type 1	ST1	(-∞, ∞)	3	0	1	0	1	1
Skew t type 2	ST2	(-∞, ∞)	3	0	1	0	1	1
Skew t type 3	ST3	(-∞, ∞)	3	0	1	0	1	1
Skew t type 4	ST4	(-∞, ∞)	3	0	1	0	1	1
Skew t type 5	ST5	(-∞, ∞)	3	0	1	0	1	1
t-distribution	TF	(-∞, ∞)	3	0	1	0	1	1
Zero adjusted IG	ZAIG	[0,∞)	2	0	1	0	1	0
Normal Linear Quadratic	LQNO	(-∞, ∞)	2	0	1	0	1	1
Power Exponential type 2	PE2	(-∞, ∞)	3	0	1	0	1	1
Simplex	SIMPLEX	[0,1]	2	0	1	1	1	0
Logarithmic	LG	{1,2,3,...}	1	1	0	0	1	0
Zipf	ZIPF	{1,2,3,...}	1	1	0	0	1	0
Beta Binomial	BB	{0,1,...,n}	2	1	1	0	1	0
Binomial	BI	{0,1,..,n}	1	1	1	0	1	0
Delaporte	DEL	{0,1,2,...}	3	1	1	0	1	0
Geometric	GEOM	{0,1,2,...}	1	1	1	0	1	0
Negative Binomial type I	NBI	{0,1,2,...}	2	1	1	0	1	0
Negative Binomial type II	NBII	{0,1,2,...}	2	1	1	0	1	0
Poisson	PO	{0,1,2,...}	1	1	1	0	1	0
Poisson inverse Gaussian	PIG	{0,1,2,...}	2	1	1	0	1	0
Sichel (original)	SI	{0,1,2,...}	3	1	1	0	1	0
Sichel (? as the mean)	SICHEL	{0,1,2,...}	3	1	1	0	1	0
Waring	WARING	{0,1,2,...}	1	1	1	0	1	0
Yule	YULE	{0,1,2,...}	1	1	1	0	1	0
Zero adjusted binomial	ZABI	{0,1,...,n}	2	1	1	0	1	0
Zero adjusted logarithmic	ZALG	{0,1,2,...}	2	1	1	0	1	0
Zero adjusted neg. bin.	ZANBI	{0,1,2,...}	3	1	1	0	1	0
Zero adjusted poisson	ZAP	{0,1,2,...}	2	1	1	0	1	0
Zero inflated binomial	ZIBI	{0,1,...,n}	2	1	1	0	1	0
Zero inflated poisson	ZIP	{0,1,2,...}	2	1	1	0	1	0
Zero inf. poiss.(mu as mean)	ZIP2	{0,1,2,...}	2	1	1	0	1	0
Zero inflated PIG	ZIPIG	{0,1,2,...}	3	1	1	0	1	0
Beta negative binomial	BNB	{0,1,2,...}	3	1	1	0	1	0
Discrete Burr XII	DBURR12	{0,1,2,...}	3	1	1	0	1	0
Double Poisson	DPO	{0,1,2,...}	2	1	1	0	1	0
Double binomial	DBI	{0,1,...,n}	2	1	1	0	1	0
Geometric (original)	GEOMo	{0,1,2,...}	1	1	1	0	1	0
Negative Binomial family	NBF	{0,1,2,...}	3	1	1	0	1	0
Zero adjusted beta neg. bin.	ZABNB	{0,1,2,...}	4	1	1	0	1	0
Zero adjusted Sichel	ZASICHEL	{0,1,2,...}	4	1	1	0	1	0
Zero adjusted Zipf	ZAZIPF	{0,1,2,...}	2	1	1	0	1	0
Zero inflated beta neg. bin.	ZIBNB	{0,1,2,...}	4	1	1	0	1	0
Zero inflated neg. bin.	ZINBI	{0,1,2,...}	3	1	1	0	1	0
Zero inflated Sichel	ZISICHEL	{0,1,2,...}	4	1	1	0	1	0
